Timestamp,CAN ID,Length,Data
2025-04-11 16:47:40.508018,0x552,8,0x64 0x0 0x0 0x0 0x0 0x0 0x0 0x24
2025-04-11 16:47:40.561443,0x552,8,0x64 0x0 0x0 0x0 0x0 0x0 0x0 0x44
2025-04-11 16:47:40.610685,0x552,8,0x64 0x0 0x0 0x0 0x0 0x0 0x0 0x64
2025-04-11 16:47:40.663890,0x541,8,0x2 0x0 0x0 0x0 0x0 0x0 0x2 0x49
2025-04-11 16:47:40.717037,0x552,8,0x64 0x0 0x0 0x0 0x0 0x0 0x0 0xA4
2025-04-11 16:47:40.770866,0x541,8,0x2 0x0 0x0 0x0 0x0 0x0 0x2 0x49
2025-04-11 16:47:40.823482,0x552,8,0x64 0x0 0x0 0x0 0x0 0x0 0x0 0x24
2025-04-11 16:47:40.872734,0x541,8,0x4 0x0 0x0 0x0 0x0 0x0 0x0 0x0
2025-04-11 16:47:40.925849,0x552,8,0x64 0x0 0x0 0x0 0x0 0x0 0x0 0x64
2025-04-11 16:47:40.979154,0x541,8,0x4 0x0 0x0 0x0 0x0 0x0 0x0 0x0
2025-04-11 16:47:41.032589,0x552,8,0x64 0x0 0x0 0x0 0x0 0x0 0x0 0xA4
2025-04-11 16:47:41.081786,0x541,8,0x4 0x0 0x0 0x0 0x0 0x0 0x0 0x0
2025-04-11 16:47:41.134884,0x552,8,0x64 0x0 0x0 0x0 0x0 0x0 0x0 0x44
2025-04-11 16:47:41.188260,0x552,8,0x64 0x0 0x0 0x0 0x0 0x0 0x0 0x64
2025-04-11 16:47:41.241875,0x552,8,0x64 0x0 0x0 0x0 0x0 0x0 0x0 0x84
2025-04-11 16:47:41.294617,0x552,8,0x64 0x0 0x0 0x0 0x0 0x0 0x0 0xA4
2025-04-11 16:47:41.347832,0x552,8,0x64 0x0 0x0 0x0 0x0 0x0 0x0 0xC4
2025-04-11 16:47:41.401024,0x552,8,0x64 0x0 0x0 0x0 0x0 0x0 0x0 0x24
2025-04-11 16:47:41.454342,0x552,8,0x64 0x0 0x0 0x0 0x0 0x0 0x0 0x44
2025-04-11 16:47:41.507637,0x552,8,0x64 0x0 0x0 0x0 0x0 0x0 0x0 0x64
2025-04-11 16:47:41.560823,0x552,8,0x64 0x0 0x0 0x0 0x0 0x0 0x0 0x84
